mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
340.6535867849986,3.2372579483926045,3.8457554976145425,0.6374517116596793,500,5,4,20,"{'rf__n_estimators': 500, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 4, 'rf__max_depth': 20}",0.7110477452069752,0.714634440974685,0.7122468124378506,0.7126429995398369,0.0014908207576951299,13
173.0654103755951,0.7522414284624374,2.148935000101725,0.21066704688543425,200,2,2,,"{'rf__n_estimators': 200, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 2, 'rf__max_depth': None}",0.7180513247156576,0.7227924270722045,0.7220452914452818,0.720963014411048,0.002081346611040746,6
185.60296964645386,1.8264278776823377,1.6392660935719807,0.20445576541138158,200,5,1,,"{'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 1, 'rf__max_depth': None}",0.7195351772878169,0.7238826049534445,0.7225068578886296,0.7219748800432969,0.0018142550625365977,4
434.5932381947835,2.83560157418331,4.2817355791727705,0.15679451737408265,500,2,1,30,"{'rf__n_estimators': 500, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 1, 'rf__max_depth': 30}",0.7219787452736087,0.7264258967576334,0.7251201644395224,0.7245082688235881,0.0018663871095542328,1
360.8762857913971,2.172075573260653,4.227436621983846,0.107154902688371,500,10,1,20,"{'rf__n_estimators': 500, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 1, 'rf__max_depth': 20}",0.71258540429547,0.7170614736767255,0.7152878257794394,0.7149782345838783,0.001840413777339186,10
143.3369550704956,2.5626020564488483,1.516003926595052,0.2544444153045012,200,5,2,20,"{'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__max_depth': 20}",0.7159075138004539,0.7185903392425449,0.7166584730794752,0.7170521087074914,0.001130073697866771,9
42.65223836898804,0.21143192077328077,0.47893563906351727,0.06940435695524907,100,5,1,10,"{'rf__n_estimators': 100, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 1, 'rf__max_depth': 10}",0.6741069787302569,0.677348827141175,0.6741298272884255,0.6751952110532858,0.001522865107763173,18
40.63254690170288,0.6283512359426938,0.519663413365682,0.06848701919911451,100,2,4,10,"{'rf__n_estimators': 100, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 4, 'rf__max_depth': 10}",0.6753153787992232,0.6755576206976185,0.6709039818837993,0.6739256604602136,0.0021389368618865644,20
405.04566899935406,2.6644141896435913,4.618424256642659,0.35329413500814394,500,5,2,30,"{'rf__n_estimators': 500, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__max_depth': 30}",0.7176248355433894,0.7228720111973759,0.7208954797145327,0.7204641088184327,0.0021637581077758672,7
429.2616349856059,1.1864508853911242,8.003944794336954,3.667187480053973,500,2,2,,"{'rf__n_estimators': 500, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 2, 'rf__max_depth': None}",0.7179414874058567,0.7226840205782455,0.7231551878554471,0.7212602319465163,0.002354576911095412,5
85.7990533510844,0.40099665356965253,1.0567830403645833,0.10999506970617424,100,2,1,30,"{'rf__n_estimators': 100, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 1, 'rf__max_depth': 30}",0.7205633149601216,0.7250132088159835,0.7213958405749888,0.7223241214503647,0.0019316086335488664,3
133.68763597806296,0.6511172772060215,1.6357924143473308,0.35642112097793965,200,10,4,20,"{'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 4, 'rf__max_depth': 20}",0.7082862770194364,0.7137833349438715,0.7116490240063392,0.7112395453232158,0.0022627661611544034,16
92.97841278711955,0.3391576823210502,1.0593488216400146,0.07147372111505923,100,2,1,,"{'rf__n_estimators': 100, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 1, 'rf__max_depth': None}",0.7191889851690326,0.7241712809027864,0.7239478785626132,0.7224360482114774,0.002297830999385694,2
352.9022789001465,0.8569730631627789,4.120797634124756,0.5671042680945525,500,10,4,20,"{'rf__n_estimators': 500, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 4, 'rf__max_depth': 20}",0.7087666299586131,0.7132662535171578,0.7103258349021185,0.7107862394592965,0.0018655887916607468,17
77.56633996963501,0.8504574445799271,0.9121819337209066,0.038210273163372103,100,2,4,,"{'rf__n_estimators': 100, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 4, 'rf__max_depth': None}",0.7106539631762384,0.7172436452986564,0.7152294964428525,0.714375701639249,0.0027571364122489866,11
71.72454603513081,0.3346104168666159,0.9809365272521973,0.12458124685166923,100,10,2,20,"{'rf__n_estimators': 100, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 2, 'rf__max_depth': 20}",0.7116605943443338,0.7152944709232397,0.7121735675728463,0.7130428776134733,0.001605830980672489,12
341.09814858436584,2.146319479640434,2.6679886976877847,0.06364937201999599,500,2,1,20,"{'rf__n_estimators': 500, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 1, 'rf__max_depth': 20}",0.7170099578980594,0.7207896984895361,0.7197110622112975,0.7191702395329643,0.0015897539876269583,8
