mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.847961044311523,0.7561975304012527,56.23871064186096,3.8235450962618716,3,uniform,"{'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.44012241404342417,0.4128323625232307,0.4648323039468233,0.42921144236581465,0.4471343897001803,0.4388265825158946,0.01740773839322478,3
5.130550956726074,0.7737852477910807,56.042053413391116,3.745367564852234,3,distance,"{'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.4778987076950314,0.44967580616460495,0.5078215735939702,0.4971845509078651,0.5285062267835293,0.49221737302900015,0.026832271340286155,1
2.699431324005127,2.420820165401243,56.64189157485962,0.7997694251837537,5,uniform,"{'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.40610099305776975,0.3815523941911209,0.4273108085073608,0.4068856236686684,0.41287128775474674,0.40694422143593334,0.014801265775008003,5
0.8244362354278565,0.10515390080131472,56.90562415122986,0.22947813387671226,5,distance,"{'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.4403865872864944,0.4234244296674702,0.46689659389645105,0.44184680699646744,0.4684647195624903,0.44820382748187465,0.01717825819983469,2
1.0907059192657471,0.2524650162426937,53.47017850875854,6.436711823923379,7,uniform,"{'knn__n_neighbors': 7, 'knn__weights': 'uniform'}",0.37697871298368035,0.3572947328470456,0.39229013628114817,0.3866327029365758,0.38990588455031966,0.3806204339197539,0.012774187937058255,6
0.7457793235778809,0.05153282329567693,37.17618827819824,1.6240820328174974,7,distance,"{'knn__n_neighbors': 7, 'knn__weights': 'distance'}",0.4160504641476394,0.3999298211808503,0.42133936159144425,0.4206750289761954,0.44193357090277474,0.41998564935978083,0.013429378002839444,4
